id,ingrediente,cantidadDisponible
839,Oil - Avocado,37
840,Juice - Ocean Spray Cranberry,5
841,Langers - Ruby Red Grapfruit,2
842,Wine - Guy Sage Touraine,40
843,Juice - Lime,58
844,Chick Peas - Canned,42
845,"Peas - Pigeon, Dry",75
846,Kellogs Cereal In A Cup,4
847,Chocolate - Chips Compound,61
848,Horseradish - Prepared,26
849,Appetizer - Assorted Box,20
850,Madeira,100
851,Wine - Valpolicella Masi,44
852,"Shrimp - 16 - 20 Cooked, Peeled",8
853,Gingerale - Diet - Schweppes,38
854,Wine - Sauvignon Blanc,83
855,Red Pepper Paste,74
856,"Bread - Dark Rye, Loaf",25
857,"Beef - Baby, Liver",40
858,Glaze - Apricot,7
859,"Bread - Bagels, Mini",40
860,Puree - Raspberry,73
861,"Lamb - Racks, Frenched",11
862,"Oil - Olive, Extra Virgin",33
863,"Crush - Orange, 355ml",44
864,"Napkin - Cocktail,beige 2 - Ply",29
865,Potatoes - Idaho 80 Count,37
866,"Radish - Black, Winter, Organic",91
867,Corn Syrup,61
868,Chicken Breast Halal,90
869,Pork - Smoked Back Bacon,83
870,"Wine - Red, Cabernet Merlot",49
871,Yoplait Drink,56
872,Jolt Cola,31
873,Lamb Rack Frenched Australian,89
874,Anisette - Mcguiness,53
875,Bagel - Whole White Sesame,66
876,Mini - Vol Au Vents,35
877,Dehydrated Kelp Kombo,93
878,Smoked Paprika,80
879,Cheese - Wine,23
880,Juice - Ocean Spray Cranberry,72
881,Bread - Multigrain,15
882,Shrimp - Prawn,50
883,Beer - Labatt Blue,84
884,Bread - Pumpernickel,95
885,Hot Choc Vending,30
886,Duck - Whole,7
887,"Lamb - Shoulder, Boneless",37
888,"Chilli Paste, Ginger Garlic",20
889,Coffee Guatemala Dark,73
890,Water - Aquafina Vitamin,6
891,Wine - Rhine Riesling Wolf Blass,26
892,"Wine - Red, Concha Y Toro",37
893,Waffle Stix,54
894,Glass Clear 7 Oz Xl,25
895,Kahlua,83
896,White Baguette,14
897,Lamb - Rack,5
898,Lettuce - Baby Salad Greens,32
899,Wine - Touraine Azay - Le - Rideau,65
900,Rosemary - Dry,56
901,"Asparagus - White, Canned",17
902,Coconut - Whole,72
903,"Pork - Loin, Bone - In",79
904,Squash - Guords,44
905,Fenngreek Seed,12
906,"Lamb - Leg, Boneless",87
907,Bonito Flakes - Toku Katsuo,64
908,"Turkey - Breast, Bone - In",91
909,Tea - Earl Grey,55
910,Cheese - Le Cheve Noir,56
911,Flour - Pastry,83
912,Apple - Granny Smith,94
913,"Pasta - Penne, Rigate, Dry",54
914,Muffin Batt - Choc Chk,61
915,Syrup - Monin - Blue Curacao,21
916,"Pasta - Lasagna, Dry",41
917,Muffin Batt - Blueberry Passion,35
918,Egg Patty Fried,30
919,"Mushroom - Porcini, Dry",11
920,Wine - Touraine Azay - Le - Rideau,34
921,Seaweed Green Sheets,76
922,"Carrots - Mini, Stem On",79
923,Coffee - 10oz Cup 92961,76
924,"Bread - White, Sliced",9
925,Wine - Taylors Reserve,7
926,Beef - Tender Tips,62
927,Napkin - Beverage 1 Ply,96
928,Olives - Kalamata,46
929,"Soup - Canadian Pea, Dry Mix",20
930,Sunflower Seed Raw,52
931,"Marsala - Sperone, Fine, D.o.c.",42
932,Carbonated Water - Strawberry,44
933,Pork - Inside,13
934,Milk - Buttermilk,32
935,Wine - Champagne Brut Veuve,26
936,Sprouts - China Rose,33
937,Sprouts - Brussel,19
938,Lid - 3oz Med Rec,97
939,Sea Urchin,15
940,Yoplait Drink,79
941,Vodka - Smirnoff,23
942,"Rum - Dark, Bacardi, Black",45
943,Vinegar - White,46
944,Energy Drink - Franks Pineapple,51
945,Ham - Procutinni,87
946,Cup - 8oz Coffee Perforated,21
947,Temperature Recording Station,53
948,Wine - Fat Bastard Merlot,6
949,Rice - 7 Grain Blend,30
950,"Fish - Soup Base, Bouillon",70
951,Chocolate - Feathers,27
952,"Artichoke - Bottom, Canned",52
953,Wine - Prem Select Charddonany,32
954,Whmis Spray Bottle Graduated,28
955,Salmon Steak - Cohoe 8 Oz,27
956,Extract Vanilla Pure,76
957,Carbonated Water - Cherry,37
958,"Beef - Bones, Marrow",81
959,"Napkin - Cocktail,beige 2 - Ply",100
960,Dawn Professionl Pot And Pan,18
961,Croissants Thaw And Serve,16
962,Appetizer - Southwestern,18
963,Appetizer - Mushroom Tart,2
964,"Soup - Knorr, Veg / Beef",98
965,Onions - Green,97
966,Cake - French Pear Tart,73
967,Creme De Banane - Marie,25
968,Soup - Verve - Chipotle Chicken,81
969,Ecolab - Hand Soap Form Antibac,61
970,"Jam - Marmalade, Orange",57
971,Food Colouring - Red,5
972,Cheese - Goat,81
973,"Pepper - Black, Whole",93
974,Eggplant - Asian,12
975,Cheese - Brick With Pepper,40
976,Pepperoni Slices,15
977,"Yogurt - Cherry, 175 Gr",18
978,Bread - Olive,3
979,"Tray - Foam, Square 4 - S",56
980,Chocolate Bar - Oh Henry,76
981,Aspic - Clear,72
982,Triple Sec - Mcguinness,5
983,"Wine - White, Riesling, Henry Of",12
984,"Lamb - Pieces, Diced",46
985,"Veal - Round, Eye Of",4
986,Salmon - Sockeye Raw,37
987,Mousse - Mango,48
988,Beef - Inside Round,40
989,Monkfish Fresh - Skin Off,92
990,Cabbage - Savoy,41
991,Pears - Bartlett,39
992,"Cup - 6oz, Foam",36
993,"Quail - Whole, Bone - In",84
994,Fruit Mix - Light,63
995,Olives - Kalamata,1
996,"Pasta - Linguini, Dry",35
997,Veal - Provimi Inside,9
998,Asparagus - Frozen,31
999,Okra,32
1000,Sauce - Soy Low Sodium - 3.87l,18
